connexion;geo_point_2d;geo_shape;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;idf;principal;x;y;picto;nom_iv
330;48.701217719380196,2.097975858420524;"{""coordinates"": [2.097975858420524, 48.701217719380196], ""type"": ""Point""}";219;Courcelle-sur-Yvette;;;62951;Courcelle sur Yvette;47052;Courcelle sur Yvette;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;633619.1987;6844942.8939;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Courcelle-sur-Yvette
680;48.833073169694686,2.333203670349574;"{""coordinates"": [2.333203670349574, 48.833073169694686], ""type"": ""Point""}";235;Denfert-Rochereau;;;71056;Denfert Rochereau;473890;Denfert-Rochereau;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;651053.1484;6859430.9166;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Denfert-Rochereau
77;48.93270621776532,2.4547663827657757;"{""coordinates"": [2.454766382765776, 48.93270621776532], ""type"": ""Point""}";242;Drancy;;;72652;Drancy;43122;Drancy;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;blue;1;0;660052.9226;6870441.1306;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Drancy
20;48.743016568968,2.2959214068976026;"{""coordinates"": [2.295921406897603, 48.743016568968], ""type"": ""Point""}";286;Fontaine-Michalon;;;69647;Fontaine Michalon;43124;Fontaine Michalon;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;648227.1941;6849441.8358;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Fontaine-Michalon
790;48.78756672743317,2.292988009258978;"{""coordinates"": [2.292988009258978, 48.78756672743317], ""type"": ""Point""}";287;Fontenay-aux-Roses;;;70133;Fontenay-aux-Roses;43125;Fontenay-aux-Roses;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;648055.8498;6854396.9194;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Fontenay-aux-Roses
404;48.881759488218286,2.357570193470876;"{""coordinates"": [2.357570193470876, 48.881759488218286], ""type"": ""Point""}";309;Gare du Nord;;;478733;Gare du Nord;58572;Magenta;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;blue;1;1;652885.8018;6864829.5892;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Gare du Nord
189;48.815229933781644,2.3408911324445945;"{""coordinates"": [2.340891132444594, 48.815229933781644], ""type"": ""Point""}";327;Gentilly;;;70543;Gentilly;45877;Gentilly;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;651600.8804;6857442.2267;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Gentilly
401;48.69819697536674,2.1365667170583604;"{""coordinates"": [2.13656671705836, 48.69819697536674], ""type"": ""Point""}";330;Gif-sur-Yvette;;;62890;Gif-sur-Yvette;47888;Gare de Gif-sur-Yvette;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;636455.3481;6844575.3205;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Gif-sur-Yvette
622;48.7616936894725,2.304227347551859;"{""coordinates"": [2.304227347551859, 48.7616936894725], ""type"": ""Point""}";392;La Croix-de-Berny-Fresnes;;;69813;La Croix de Berny;46007;La Croix de Berny Fresnes;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;648856.2342;6851512.9527;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;La Croix-de-Berny-Fresnes
118;48.695264121172805,2.15164203862357;"{""coordinates"": [2.15164203862357, 48.695264121172805], ""type"": ""Point""}";401;La Hacquinière;;;62825;La Hacquinière;47046;La Hacquinière;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;637561.275;6844237.2403;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;La Hacquinière
327;48.808296587696724,2.3343543096396475;"{""coordinates"": [2.334354309639648, 48.808296587696724], ""type"": ""Point""}";403;Laplace;;;70427;Laplace;43607;Laplace;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;blue;1;0;651114.3866;6856675.358;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Laplace
34;48.91800820485815,2.362470767055212;"{""coordinates"": [2.362470767055212, 48.91800820485815], ""type"": ""Point""}";404;La Plaine-Stade de France;;;72211;La Plaine Stade de France - Saint-Denis - Aubervilliers;43145;La Plaine Stade de France;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;blue;1;0;653277.7337;6868857.3799;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;La Plaine-Stade de France
242;48.930739569383356,2.4257914255599533;"{""coordinates"": [2.425791425559953, 48.930739569383356], ""type"": ""Point""}";427;Le Bourget;;;72641;Le Bourget;43231;Le Bourget;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;blue;1;0;657928.49;6870237.4878;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Le Bourget
