connexion;geo_point_2d;geo_shape;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;ligne;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;idf;principal;x;y;picto;nom_iv
71;48.81398905107478,2.391686971662538;"{""coordinates"": [2.391686971662538, 48.81398905107478], ""type"": ""Point""}";369;Ivry-sur-Seine;;;424396;Ivry-sur-Seine;46366;Ivry-sur-Seine;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;655329.7373;6857274.321;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Ivry-sur-Seine
141;48.84715690062344,2.2780362819959077;"{""coordinates"": [2.278036281995908, 48.84715690062344], ""type"": ""Point""}";376;Javel;;;71150;Javel;45346;Javel;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;647017.9577;6861032.4801;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Javel
874;48.76477601201801,2.1639470858818313;"{""coordinates"": [2.163947085881831, 48.76477601201801], ""type"": ""Point""}";380;Jouy-en-Josas;;;63523;Jouy-en-Josas;43136;Jouy-en-Josas;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;638548.7141;6851955.6623;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Jouy-en-Josas
31;48.689764621447345,2.382846099452605;"{""coordinates"": [2.382846099452605, 48.689764621447345], ""type"": ""Point""}";385;Juvisy;;;478505;Juvisy;45739;Juvisy;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;1;654572.589;6843467.9193;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Juvisy
108;48.59111919881552,2.266213853170555;"{""coordinates"": [2.266213853170555, 48.59111919881552], ""type"": ""Point""}";402;La Norville;Saint-Germain-lès-Arpajon;;60115;La Norville - Saint-Germain-lès-Arpajon;47939;La Norville - Saint-Germain-lès-Arpajon;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;645885.8486;6832575.0053;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;La Norville
101;48.52040359013404,2.2547397024275164;"{""coordinates"": [2.254739702427516, 48.52040359013404], ""type"": ""Point""}";424;Lardy;;;59761;Lardy;43149;Lardy;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;644965.501;6824722.0741;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Lardy
918;48.78222618259531,2.409590234985702;"{""coordinates"": [2.409590234985702, 48.78222618259531], ""type"": ""Point""}";444;Les Ardoines;;;70064;Les Ardoines;43227;Les Ardoines;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;656617.9966;6853732.7521;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Les Ardoines
326;48.92087280342236,2.313835382457718;"{""coordinates"": [2.313835382457718, 48.92087280342236], ""type"": ""Point""}";450;Les Grésillons;;;72225;Les Grésillons;43230;Les Grésillons;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;649716.2727;6869205.7905;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Les Grésillons
185;48.745072165958895,2.417520977896491;"{""coordinates"": [2.417520977896491, 48.745072165958895], ""type"": ""Point""}";454;Les Saules;;;69662;Les Saules;46298;Les Saules;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;657170.2467;6849597.5353;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Les Saules
108;48.565593861886065,2.290924468489717;"{""coordinates"": [2.290924468489717, 48.565593861886065], ""type"": ""Point""}";518;Marolles-en-Hurepoix;;;59948;Marolles-en-Hurepoix;43159;Marolles-en-Hurepoix;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;647682.6387;6829720.8564;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Marolles-en-Hurepoix
524;48.725997091123524,2.2583229936112406;"{""coordinates"": [2.258322993611241, 48.725997091123524], ""type"": ""Point""}";522;Massy-Palaiseau;;;63244;Massy - Palaiseau;58774;Massy - Palaiseau;A01840;C01727;RER C;C;RER;0;RER C;0;0;0;SNCF;yellow;1;1;645444.7867;6847574.9519;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Massy-Palaiseau
;48.725997091123524,2.2583229936112406;"{""coordinates"": [2.258322993611241, 48.725997091123524], ""type"": ""Point""}";522;Massy-Palaiseau;;;63244;Massy - Palaiseau;58774;Massy - Palaiseau;A01840;C01727;RER C;C;RER;0;RER C;0;0;0;SNCF;yellow;1;1;645444.7867;6847574.9519;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Massy-Palaiseau
179;48.734888146410114,2.2740024044842473;"{""coordinates"": [2.274002404484247, 48.734888146410114], ""type"": ""Point""}";524;Massy-Verrières;;;63320;Massy - Verrières;47940;Massy - Verrières;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;646607.1661;6848552.7229;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Massy-Verrières
366;48.80749262484541,2.240883069335647;"{""coordinates"": [2.240883069335647, 48.80749262484541], ""type"": ""Point""}";540;Meudon-Val-Fleury;;;70412;Meudon Val Fleury;43163;Meudon Val Fleury;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;644249.1144;6856647.9002;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Meudon-Val-Fleury
